序号,用户名,链接,评分,评分标题,有用数,日期,评论
1,风客云心,https://www.douban.com/people/zero228729/,allstar10 rating,很差,0,2019-04-27,怎一个乱字了得，别看了，又费脑子又费眼，还觉得浪费时间。可以说是毫无亮点可言
2,冷仴塟椛魂ヾ,https://www.douban.com/people/62791183/,allstar30 rating,还行,1,2019-04-26,片头给出恶灵引子，片中女主身陷恶灵+女婊+匪徒三层险境，一波又一波，片尾女主妹妹上门抛出遐想。从整体结构、节奏把握、灯光配乐、场景切换等等，都展现出本片导演的功底。
3,我是猪贩子,https://www.douban.com/people/165450790/,allstar20 rating,较差,0,2019-04-25,5分不能再多了
4,麦子,https://www.douban.com/people/btone0808/,allstar30 rating,还行,0,2019-04-27,简单不费脑子，其实还蛮喜欢这类爆米花惊悚片的，悠闲时刻欣赏下美女和邪恶缠斗的小故事
5,madeincorea,https://www.douban.com/people/122145772/,allstar10 rating,很差,0,2019-04-26,？
6,暴躁的酱油君,https://www.douban.com/people/169014152/,allstar20 rating,较差,0,2019-04-27,看得云里雾里的……
7,云哥,https://www.douban.com/people/145708525/,allstar20 rating,较差,0,2019-04-25,召唤邪灵之类的，不建议观看
8,Godfrey,https://www.douban.com/people/143173399/,allstar10 rating,很差,0,2019-04-25,剧情差演技差制作差完全一无是处
9,小汀,https://www.douban.com/people/ts-paradise/,allstar10 rating,很差,0,2019-04-27,低成本制作，比较粗糙。编剧也很凌乱，看完真的很凌乱。不建议消费本片。大概是讲游戏招魂，然而说好的一个魂，竟然杀出三个魄。故事都不完整，编剧就是太高估自己起了个大头，最后草草收尾的烂片。
10,Malena,https://www.douban.com/people/138671172/,allstar10 rating,很差,0,2019-04-27,辣鸡
11,天仇说电影,https://www.douban.com/people/179816800/,allstar20 rating,较差,0,2019-04-27,想看的密我
12,、Fatrix,https://www.douban.com/people/132131158/,allstar20 rating,较差,0,2019-04-25,不知所云 就靠着一惊一乍才不至于睡过去
